player,position,number,nat.,url,marketValue
Moi Delgado,Left-Back,3,Spain,https://www.transfermarkt.com/moi-delgado/profil/spieler/260230,0.3
Roberto Corral,Left-Back,unknown,Spain,https://www.transfermarkt.com/roberto-corral/profil/spieler/379714,0.25
Antoñito,Right-Back,18,Spain,https://www.transfermarkt.com/antonito/profil/spieler/62144,2.0
Javi Moyano,Right-Back,17,Spain,https://www.transfermarkt.com/javi-moyano/profil/spieler/71204,0.8
Javi Aparicio,Right-Back,unknown,Spain,https://www.transfermarkt.com/javi-aparicio/profil/spieler/501126,0.15
Luismi,Defensive Midfield,6,Spain,https://www.transfermarkt.com/luismi/profil/spieler/207922,0.7
Borja Fernández,Defensive Midfield,8,Spain,https://www.transfermarkt.com/borja-fernandez/profil/spieler/7512,0.1
Rubén Alcaraz,Central Midfield,14,Spain,https://www.transfermarkt.com/ruben-alcaraz/profil/spieler/247250,10.0
Fede San Emeterio,Central Midfield,unknown,Spain,https://www.transfermarkt.com/fede-san-emeterio/profil/spieler/307519,5.0
Míchel Herrero,Central Midfield,21,Spain,https://www.transfermarkt.com/michel-herrero/profil/spieler/65331,2.0
Anuar,Central Midfield,23,"['Morocco', 'Spain']",https://www.transfermarkt.com/anuar/profil/spieler/327126,1.5
Antonio Cotán,Central Midfield,unknown,Spain,https://www.transfermarkt.com/antonio-cotan/profil/spieler/199330,0.5
El Hacen,Central Midfield,unknown,Mauritania,https://www.transfermarkt.com/el-hacen/profil/spieler/321629,0.2
Ivi López,Attacking Midfield,unknown,Spain,https://www.transfermarkt.com/ivi-lopez/profil/spieler/282371,1.0
Antonio Domínguez,Attacking Midfield,unknown,Spain,https://www.transfermarkt.com/antonio-dominguez/profil/spieler/288453,0.15
Pablo Muñoz,Attacking Midfield,unknown,Spain,https://www.transfermarkt.com/pablo-munoz/profil/spieler/531305,0.1
Toni Villa,Left Winger,19,Spain,https://www.transfermarkt.com/toni-villa/profil/spieler/337066,4.0
Waldo Rubio,Left Winger,7,Spain,https://www.transfermarkt.com/waldo-rubio/profil/spieler/404688,1.0
Óscar Plano,Right Winger,10,Spain,https://www.transfermarkt.com/oscar-plano/profil/spieler/221309,4.0
Daniele Verde,Right Winger,unknown,Italy,https://www.transfermarkt.com/daniele-verde/profil/spieler/256361,2.5
Keko Gontán,Right Winger,unknown,Spain,https://www.transfermarkt.com/keko-gontan/profil/spieler/66112,2.0
Leo Suárez,Right Winger,unknown,"['Argentina', 'Spain']",https://www.transfermarkt.com/leo-suarez/profil/spieler/294894,1.0
Pablo Hervías,Right Winger,unknown,Spain,https://www.transfermarkt.com/pablo-hervias/profil/spieler/142027,0.7
David Mayoral,Right Winger,unknown,Spain,https://www.transfermarkt.com/david-mayoral/profil/spieler/355629,0.3
Kuki Zalazar,Second Striker,unknown,"['Spain', 'Uruguay']",https://www.transfermarkt.com/kuki-zalazar/profil/spieler/311696,0.25
Enes Ünal,Centre-Forward,unknown,Turkey,https://www.transfermarkt.com/enes-unal/profil/spieler/251106,5.0
Sergi Guardiola,Centre-Forward,12,Spain,https://www.transfermarkt.com/sergi-guardiola/profil/spieler/256429,5.0
Duje Cop,Centre-Forward,unknown,Croatia,https://www.transfermarkt.com/duje-cop/profil/spieler/46415,1.5
Stiven Plaza,Centre-Forward,42,Ecuador,https://www.transfermarkt.com/stiven-plaza/profil/spieler/591375,1.5
Chris Ramos,Centre-Forward,unknown,Spain,https://www.transfermarkt.com/chris-ramos/profil/spieler/538810,0.25
Miguel de la Fuente,Centre-Forward,unknown,Spain,https://www.transfermarkt.com/miguel-de-la-fuente/profil/spieler/480883,0.25
Stole Dimitrievski,Goalkeeper,13,"['North Macedonia', 'Spain']",https://www.transfermarkt.com/stole-dimitrievski/profil/spieler/165467,3.0
